Input file:	Project_2.txt					Kinematic results:
Frac Strike	Frac Dip	Move Trend	Move Plunge	SoM	N	Theta	Gamma	DeltaV	e1	Trend	Plunge	e2	Trend	Plunge	e3	Trend	Plunge
192.00	  76.00	 277.00	   4.00	 TRC	 1	 161.33	 0.3201	 -0.9474	 0.0263	 207.11	  73.88	 0.0000	   8.09	  15.28	 -0.9737	  99.47	   5.00
 38.00	  56.00	 107.00	  10.00	 TRC	 2	 131.69	 0.7467	 -0.6651	 0.1674	  52.36	  63.57	 -0.0000	 201.31	  23.07	 -0.8326	 296.59	  12.20
  2.00	  74.00	  92.00	   3.00	 T-C	 3	 161.00	 0.3256	 -0.9455	 0.0272	  92.00	  83.50	 -0.0000	   2.00	   0.00	 -0.9728	 272.00	   6.50
 56.00	  69.00	  97.00	   1.00	 TRC	 4	 127.31	 0.7954	 -0.6061	 0.1969	  35.80	  25.05	 -0.0000	 188.91	  62.34	 -0.8031	 300.61	  10.97
 36.00	  57.00	  86.00	   3.00	 TRC	 5	 127.81	 0.7900	 -0.6131	 0.1935	  29.45	  42.74	 0.0000	 178.80	  42.96	 -0.8065	 284.19	  15.91
 20.00	  44.00	 124.00	  -7.00	 TLC	 6	 -139.17	 -0.6538	 -0.7567	 0.1217	 151.82	  58.92	 0.0000	  35.86	  14.78	 -0.8783	 298.24	  26.67
 31.00	  87.00	 121.00	  -3.00	 --C	 7	 180.00	 0.0000	 -1.0000	 -0.0000	  31.08	   1.54	 -0.0000	 148.16	  86.63	 -1.0000	 301.00	   3.00
 56.00	  84.00	 125.00	  -3.00	 TRC	 8	 158.85	 0.3607	 -0.9327	 0.0337	  46.14	   8.18	 0.0000	 196.51	  80.61	 -0.9663	 315.48	   4.58
 85.00	  61.00	 146.00	 -12.00	 TRC	 9	 148.11	 0.5283	 -0.8490	 0.0755	  82.69	  30.26	 -0.0000	 220.37	  51.72	 -0.9245	 339.67	  21.11
275.00	  87.00	 267.00	  -1.00	 NRO	 10	  82.07	 0.9904	 0.1380	 0.5690	 226.03	   1.32	 0.0000	 339.50	  86.68	 -0.4310	 135.96	   3.05
142.00	  86.00	  52.00	   4.00	 T-O	 11	   0.00	 0.0000	 1.0000	 1.0000	  52.00	   4.00	 0.0000	 232.00	  86.00	 -0.0000	 322.00	   0.00
356.00	  52.00	 116.00	  11.00	 TLC	 12	 -123.53	 -0.8336	 -0.5524	 0.2238	 168.79	  58.47	 -0.0000	  20.16	  27.65	 -0.7762	 282.68	  13.95
283.00	  87.00	 276.00	  -3.00	 NRO	 13	  83.18	 0.9929	 0.1188	 0.5594	 234.50	   0.00	 0.0000	 324.50	  85.48	 -0.4406	 144.50	   4.52
223.00	  88.00	 313.00	  -2.00	 T-C	 14	 180.00	 0.0000	 -1.0000	 0.0000	 339.95	  87.76	 0.0000	 223.04	   1.02	 -1.0000	 133.00	   2.00
320.00	  59.00	 115.00	   1.00	 TLC	 15	 -110.68	 -0.9355	 -0.3532	 0.3234	 165.62	  27.92	 0.0000	  23.51	  56.12	 -0.6766	 265.30	  17.61
 32.00	  81.00	 113.00	   2.00	 TRC	 16	 165.81	 0.2452	 -0.9695	 0.0153	  31.78	  50.75	 0.0000	 204.62	  39.03	 -0.9847	 297.47	   3.51
 70.00	  60.00	 129.00	   1.00	 TRC	 17	 137.18	 0.6797	 -0.7335	 0.1333	  69.00	  45.13	 -0.0000	 219.87	  41.00	 -0.8667	 323.36	  15.02
206.00	  89.00	 296.00	  -1.00	 T-C	 18	 180.00	 0.0000	 -1.0000	 0.0000	 206.77	  37.74	 -0.0000	  24.71	  52.24	 -1.0000	 116.00	   1.00
177.00	  86.00	 307.00	 -15.00	 NLC	 19	 -139.13	 -0.6543	 -0.7562	 0.1219	 199.53	  15.71	 -0.0000	 345.16	  71.18	 -0.8781	 106.66	  10.10
173.00	  86.00	 306.00	  -2.00	 TLC	 20	 -137.02	 -0.6818	 -0.7316	 0.1342	  14.37	   2.73	 -0.0000	 244.22	  85.78	 -0.8658	 104.52	   3.22
 64.00	  87.00	 154.00	  -3.00	 --C	 21	 180.00	 0.0000	 -1.0000	 0.0000	  64.11	   2.09	 -0.0000	 188.87	  86.35	 -1.0000	 334.00	   3.00
172.00	  86.00	 322.00	  -3.00	 NLC	 22	 -120.12	 -0.8650	 -0.5017	 0.2491	  21.95	   1.00	 0.0000	 278.07	  85.84	 -0.7509	 112.02	   4.04
352.00	  89.00	 130.00	   0.00	 TLC	 23	 -131.99	 -0.7432	 -0.6690	 0.1655	 195.99	   1.23	 0.0000	  40.00	  88.65	 -0.8345	 286.00	   0.55
107.00	  85.00	  17.00	   5.00	 T-O	 24	   0.00	 0.0000	 1.0000	 1.0000	  17.00	   5.00	 0.0000	 286.20	   9.09	 -0.0000	 135.49	  79.61
187.00	  89.00	 308.00	  -8.00	 NLC	 25	 -148.33	 -0.5250	 -0.8511	 0.0744	 203.49	  12.89	 0.0000	   2.91	  76.26	 -0.9256	 112.42	   4.67
